Name,Age,Major,GPA,Year,Club,Position
Sarah Thomas,20,Environmental Science,3.63,Sophomore,Soccer Club,Intern at StartUp
Thomas Wilson,21,Mathematics,3.26,Senior,Research Assistant,Part-time at MarketPlace
Barbara Anderson,25,Computer Science,2.85,Junior,Debate Team,Intern at ResearchLab
Thomas Doe,20,Mechanical Engineering,2.26,Junior,IEEE Member,Intern at ResearchLab
Linda Thomas,22,Chemistry,3.52,Senior,Debate Team,Business Club President
James Anderson,21,Physics,3.57,Sophomore,ChemClub,Intern at ResearchLab
Sarah Jackson,25,Computer Science,2.92,Freshman,Robotics Team,Tutor at MathCenter
Mary Smith,18,Electrical Engineering,2.51,Senior,IEEE Member,Member of ChemClub
Michael Brown,19,Electrical Engineering,2.3,Freshman,IEEE Member,Part-time at AutoWorks
Jessica Smith,18,Biology,3.57,Senior,Green Club,Intern at TechCorp
Robert Thomas,24,Biology,3.72,Senior,ChemClub,Part-time at ElectricWorks
Michael Moore,20,Computer Science,3.12,Junior,IEEE Member,Member of ChemClub
Mary Johnson,23,Chemistry,2.91,Junior,IEEE Member,Research Assistant
Christopher Jackson,20,Electrical Engineering,2.04,Sophomore,Soccer Club,Part-time at ElectricWorks
Linda Jackson,23,Civil Engineering,3.72,Sophomore,Research Assistant,Tutor at MathCenter
Jessica Taylor,21,Business Administration,3.82,Senior,Research Assistant,Business Club President
Mary Davis,18,Mechanical Engineering,3.48,Junior,ASCE Member,Business Club President
Jane Jackson,25,Chemistry,3.49,Sophomore,Coding Club,Tutor at MathCenter
Sarah Moore,18,Economics,2.96,Freshman,Business Club,Business Club President
David Clark,25,Computer Science,3.05,Junior,ASCE Member,Intern at ResearchLab
Christopher Smith,21,Mathematics,2.33,Senior,Soccer Club,Part-time at ElectricWorks
Barbara Davis,21,Mechanical Engineering,2.44,Freshman,Green Club,Business Club President
John Martin,25,Civil Engineering,3.9,Senior,IEEE Member,Member of ChemClub
Barbara Davis,21,Chemistry,2.65,Freshman,Coding Club,Part-time at MarketPlace
Patricia Doe,25,Business Administration,2.75,Freshman,ASCE Member,Intern at StartUp
Robert Doe,25,Physics,2.33,Freshman,Robotics Team,Intern at StartUp
Linda Brown,22,Biology,3.53,Sophomore,ASCE Member,Part-time at BuildCorp
Robert Johnson,25,Mathematics,2.76,Freshman,ChemClub,Part-time at MarketPlace
James Doe,21,Chemistry,2.87,Sophomore,Business Club,Intern at ResearchLab
Emily Jackson,23,Environmental Science,2.6,Junior,Business Club,Part-time at MarketPlace
Michael Smith,20,Chemistry,3.96,Junior,Math Club,Part-time at AutoWorks
Linda Anderson,25,Physics,3.32,Senior,Coding Club,Research Assistant
Linda Brown,24,Business Administration,2.41,Junior,Business Club,Part-time at BuildCorp
Emily Smith,18,Mechanical Engineering,3.57,Sophomore,Soccer Club,Member of ChemClub
James Harris,21,Civil Engineering,2.61,Freshman,Research Assistant,Intern at ResearchLab
Jane Brown,21,Computer Science,3.78,Junior,Soccer Club,Intern at StartUp
Jane Davis,22,Environmental Science,2.96,Sophomore,Debate Team,Business Club President
Linda Doe,23,Computer Science,3.04,Senior,BioSociety,Business Club President
James Doe,21,Mathematics,2.92,Sophomore,BioSociety,Tutor at MathCenter
Christopher Jackson,24,Economics,3.87,Junior,Math Club,Part-time at BuildCorp
James Doe,25,Mathematics,3.07,Senior,ASCE Member,Part-time at MarketPlace
Jane Martin,24,Mechanical Engineering,3.84,Junior,BioSociety,Member of BioSociety
Mary Smith,18,Mechanical Engineering,3.7,Senior,ChemClub,Part-time at MarketPlace
Christopher White,19,Mechanical Engineering,3.31,Senior,ChemClub,Part-time at BuildCorp
Michael Wilson,24,Mechanical Engineering,2.6,Freshman,Debate Team,Intern at StartUp
Emily Doe,24,Civil Engineering,3.57,Sophomore,Robotics Team,Intern at StartUp
Emily Doe,23,Computer Science,2.52,Sophomore,Coding Club,Research Assistant
Barbara Brown,22,Chemistry,3.7,Senior,Research Assistant,Business Club President
James Smith,21,Physics,3.44,Freshman,Research Assistant,Part-time at MarketPlace
Robert Doe,22,Civil Engineering,2.6,Sophomore,BioSociety,Member of BioSociety
Patricia Smith,22,Environmental Science,3.68,Freshman,ChemClub,Part-time at AutoWorks
Thomas Martin,18,Environmental Science,3.75,Freshman,BioSociety,Member of BioSociety
Patricia Doe,24,Mechanical Engineering,2.8,Junior,BioSociety,Member of BioSociety
Linda Harris,22,Biology,3.93,Junior,Math Club,Intern at ResearchLab
Michael Taylor,21,Physics,2.68,Sophomore,BioSociety,Intern at StartUp
Mary Doe,18,Economics,3.54,Senior,Debate Team,Part-time at BuildCorp
Michael White,23,Business Administration,3.82,Sophomore,Math Club,Part-time at BuildCorp
Jane Anderson,25,Biology,2.38,Junior,ChemClub,Tutor at MathCenter
Thomas Davis,21,Chemistry,3.82,Senior,Green Club,Intern at ResearchLab
Patricia White,21,Electrical Engineering,2.09,Sophomore,Coding Club,Member of ChemClub
Thomas Davis,18,Electrical Engineering,3.81,Senior,IEEE Member,Intern at StartUp
Christopher Martin,22,Business Administration,3.62,Freshman,Business Club,Part-time at ElectricWorks
Christopher Moore,22,Mechanical Engineering,3.3,Senior,ChemClub,Intern at TechCorp
Michael Taylor,22,Biology,2.71,Freshman,BioSociety,Intern at ResearchLab
Patricia Taylor,20,Mechanical Engineering,2.11,Freshman,Debate Team,Part-time at MarketPlace
James Jackson,25,Mechanical Engineering,3.97,Junior,Debate Team,Part-time at AutoWorks
Linda Wilson,22,Civil Engineering,3.9,Freshman,ChemClub,Research Assistant
Patricia White,22,Business Administration,2.32,Senior,Green Club,Research Assistant
John Clark,21,Economics,2.41,Junior,Math Club,Part-time at AutoWorks
Michael Harris,21,Environmental Science,3.57,Freshman,Green Club,Intern at ResearchLab
Barbara White,21,Chemistry,3.25,Junior,Robotics Team,Part-time at MarketPlace
Robert Davis,24,Physics,2.02,Sophomore,IEEE Member,Intern at TechCorp
Barbara Clark,20,Physics,3.9,Sophomore,ChemClub,Tutor at MathCenter
Michael White,25,Civil Engineering,2.3,Sophomore,Soccer Club,Intern at StartUp
Mary Wilson,21,Business Administration,3.66,Junior,BioSociety,Intern at StartUp
Christopher Martin,18,Physics,2.19,Senior,Robotics Team,Member of BioSociety
Patricia Smith,22,Chemistry,3.74,Senior,Robotics Team,Tutor at MathCenter
Sarah Johnson,25,Mathematics,3.09,Freshman,Soccer Club,Intern at StartUp
David Taylor,21,Mechanical Engineering,2.2,Junior,IEEE Member,Intern at StartUp
Sarah Taylor,25,Economics,2.23,Senior,Soccer Club,Member of ChemClub
Robert White,19,Electrical Engineering,3.61,Senior,Debate Team,Member of BioSociety
Christopher Doe,20,Chemistry,2.64,Freshman,BioSociety,Part-time at ElectricWorks
Barbara Doe,19,Biology,3.02,Senior,Green Club,Business Club President
Michael Thomas,24,Chemistry,2.5,Junior,Robotics Team,Member of ChemClub
David Thomas,20,Biology,3.26,Junior,Soccer Club,Tutor at MathCenter
Robert Clark,21,Economics,3.34,Freshman,Business Club,Research Assistant
Emily Jackson,19,Business Administration,2.34,Senior,Robotics Team,Part-time at AutoWorks
John Johnson,18,Business Administration,3.74,Sophomore,ASCE Member,Part-time at MarketPlace
James Taylor,24,Physics,3.01,Junior,Coding Club,Member of BioSociety
Christopher Moore,21,Chemistry,3.49,Senior,Math Club,Research Assistant
Patricia Smith,24,Economics,3.81,Freshman,Debate Team,Part-time at ElectricWorks
Christopher Moore,25,Physics,3.67,Freshman,BioSociety,Tutor at MathCenter
James Harris,22,Economics,3.25,Sophomore,Coding Club,Part-time at AutoWorks
James Moore,23,Computer Science,3.88,Junior,Soccer Club,Intern at ResearchLab
Emily Anderson,24,Mathematics,2.34,Freshman,ASCE Member,Intern at ResearchLab
Barbara Moore,20,Physics,3.62,Senior,Coding Club,Part-time at ElectricWorks
John Smith,22,Electrical Engineering,2.46,Senior,IEEE Member,Tutor at MathCenter
David Brown,21,Computer Science,3.72,Freshman,BioSociety,Member of BioSociety
James Brown,18,Chemistry,2.38,Freshman,ChemClub,Research Assistant
Michael Taylor,19,Mathematics,3.74,Freshman,Green Club,Part-time at BuildCorp
Jane Smith,19,Biology,3.24,Senior,ASCE Member,Part-time at BuildCorp
Michael Jackson,20,Environmental Science,3.19,Junior,ASCE Member,Tutor at MathCenter
John White,20,Chemistry,2.07,Senior,BioSociety,Research Assistant
Robert Doe,19,Physics,2.92,Senior,Business Club,Part-time at ElectricWorks
Linda Anderson,22,Computer Science,3.73,Sophomore,ChemClub,Intern at ResearchLab
Michael Jackson,24,Biology,3.31,Freshman,Coding Club,Member of ChemClub
Sarah Thomas,23,Mechanical Engineering,3.56,Junior,Coding Club,Intern at TechCorp
Mary Johnson,20,Biology,2.39,Sophomore,Math Club,Part-time at MarketPlace
John Clark,23,Electrical Engineering,2.64,Senior,ChemClub,Part-time at ElectricWorks
Michael Smith,19,Economics,2.43,Freshman,BioSociety,Part-time at BuildCorp
Thomas White,19,Environmental Science,3.49,Freshman,ASCE Member,Part-time at ElectricWorks
Sarah Smith,18,Physics,3.0,Senior,Research Assistant,Intern at TechCorp
Patricia Smith,18,Physics,3.85,Junior,IEEE Member,Member of ChemClub
James Johnson,20,Physics,3.23,Freshman,Soccer Club,Business Club President
Jane Jackson,25,Mathematics,3.44,Junior,Green Club,Tutor at MathCenter
Michael Smith,18,Biology,2.75,Sophomore,Math Club,Part-time at ElectricWorks
Sarah Davis,20,Mathematics,3.88,Sophomore,BioSociety,Part-time at BuildCorp
David Thomas,23,Mechanical Engineering,2.91,Sophomore,Robotics Team,Member of BioSociety
Robert Doe,25,Physics,3.96,Junior,Math Club,Part-time at AutoWorks
Patricia Anderson,23,Electrical Engineering,3.93,Sophomore,Math Club,Member of ChemClub
Robert Moore,23,Environmental Science,2.78,Freshman,IEEE Member,Intern at ResearchLab
Robert White,18,Biology,3.85,Sophomore,IEEE Member,Member of ChemClub
Jane Martin,21,Mathematics,2.16,Freshman,IEEE Member,Part-time at AutoWorks
Patricia Brown,20,Biology,3.15,Sophomore,IEEE Member,Member of BioSociety
Thomas Moore,24,Environmental Science,3.21,Senior,BioSociety,Part-time at AutoWorks
Michael Johnson,22,Physics,2.69,Sophomore,Business Club,Research Assistant
Michael Thomas,18,Mathematics,3.61,Senior,BioSociety,Intern at ResearchLab
Thomas Martin,22,Economics,3.44,Senior,IEEE Member,Research Assistant
John Jackson,19,Physics,2.43,Freshman,Robotics Team,Intern at ResearchLab
Patricia Harris,25,Environmental Science,2.22,Junior,Research Assistant,Member of BioSociety
Michael Anderson,21,Environmental Science,2.16,Junior,Business Club,Member of BioSociety
James Jackson,24,Electrical Engineering,3.74,Freshman,Research Assistant,Part-time at MarketPlace
Barbara Davis,23,Mathematics,3.19,Junior,ASCE Member,Research Assistant
Michael Martin,24,Electrical Engineering,2.33,Freshman,ASCE Member,Member of ChemClub
John Thomas,22,Civil Engineering,2.56,Sophomore,Green Club,Member of ChemClub
Emily White,22,Mathematics,2.35,Senior,Coding Club,Business Club President
Thomas Doe,24,Electrical Engineering,3.07,Senior,BioSociety,Research Assistant
Michael Martin,24,Business Administration,3.78,Junior,Research Assistant,Tutor at MathCenter
Mary Anderson,20,Biology,3.05,Senior,BioSociety,Tutor at MathCenter
Mary Johnson,19,Environmental Science,3.3,Sophomore,ASCE Member,Intern at ResearchLab
Sarah Brown,19,Chemistry,2.28,Sophomore,Math Club,Intern at ResearchLab
Christopher Anderson,18,Physics,2.09,Sophomore,Soccer Club,Part-time at MarketPlace
Linda Anderson,25,Physics,3.84,Senior,IEEE Member,Part-time at BuildCorp
Mary Taylor,25,Electrical Engineering,2.65,Sophomore,IEEE Member,Tutor at MathCenter
David Martin,20,Environmental Science,3.34,Senior,Green Club,Research Assistant
Michael Clark,21,Biology,3.01,Senior,Debate Team,Part-time at BuildCorp
Michael Smith,18,Civil Engineering,2.5,Junior,Research Assistant,Part-time at AutoWorks
Thomas Clark,22,Biology,2.33,Sophomore,ChemClub,Member of BioSociety
David Harris,23,Biology,2.44,Freshman,ASCE Member,Part-time at AutoWorks
Thomas Moore,21,Computer Science,2.38,Junior,Math Club,Part-time at AutoWorks
Mary Harris,25,Electrical Engineering,3.06,Sophomore,Robotics Team,Research Assistant
Emily Doe,18,Mechanical Engineering,3.99,Freshman,BioSociety,Part-time at ElectricWorks
Mary Jackson,25,Physics,2.74,Junior,Debate Team,Tutor at MathCenter
James Moore,25,Physics,3.35,Sophomore,BioSociety,Intern at ResearchLab
John Smith,18,Mechanical Engineering,3.55,Junior,ChemClub,Member of BioSociety
Christopher Wilson,20,Biology,3.82,Sophomore,ASCE Member,Intern at StartUp
Linda Davis,24,Chemistry,3.21,Sophomore,Math Club,Part-time at AutoWorks
David Smith,24,Civil Engineering,2.45,Junior,Business Club,Tutor at MathCenter
David Brown,20,Chemistry,3.09,Sophomore,IEEE Member,Intern at TechCorp
Jessica White,22,Computer Science,2.1,Junior,Math Club,Member of BioSociety
Mary Clark,22,Biology,2.01,Senior,BioSociety,Part-time at BuildCorp
Sarah Clark,24,Mathematics,2.73,Senior,BioSociety,Research Assistant
Michael Wilson,20,Mathematics,2.19,Sophomore,ASCE Member,Tutor at MathCenter
Emily Wilson,22,Mechanical Engineering,2.53,Sophomore,IEEE Member,Intern at TechCorp
Mary Moore,25,Physics,2.29,Sophomore,IEEE Member,Part-time at ElectricWorks
Linda Clark,21,Computer Science,2.88,Senior,Coding Club,Member of ChemClub
Robert Anderson,18,Electrical Engineering,2.42,Senior,Coding Club,Intern at TechCorp
Jane Moore,25,Business Administration,3.3,Junior,Green Club,Intern at ResearchLab
Thomas Clark,21,Environmental Science,2.23,Junior,ChemClub,Research Assistant
Robert Moore,23,Biology,3.58,Senior,Green Club,Business Club President
Mary Martin,21,Electrical Engineering,2.71,Freshman,Math Club,Part-time at BuildCorp
Mary Taylor,22,Civil Engineering,2.21,Sophomore,ASCE Member,Part-time at AutoWorks
James Brown,23,Business Administration,3.39,Junior,Debate Team,Intern at ResearchLab
Emily Clark,23,Computer Science,2.68,Freshman,Research Assistant,Member of BioSociety
Linda Thomas,24,Environmental Science,3.83,Senior,Business Club,Member of ChemClub
Christopher Clark,20,Mechanical Engineering,3.43,Sophomore,BioSociety,Intern at ResearchLab
Robert Wilson,19,Chemistry,3.64,Junior,Debate Team,Part-time at ElectricWorks
Sarah Smith,19,Electrical Engineering,3.12,Senior,Soccer Club,Member of ChemClub
Robert Brown,24,Civil Engineering,2.07,Junior,ChemClub,Member of ChemClub
Thomas Harris,24,Economics,3.66,Freshman,BioSociety,Member of BioSociety
Linda Anderson,21,Biology,3.57,Sophomore,IEEE Member,Part-time at AutoWorks
David Martin,18,Mathematics,3.66,Junior,Debate Team,Member of BioSociety
Mary Clark,23,Chemistry,2.0,Senior,Business Club,Part-time at ElectricWorks
David White,18,Physics,3.78,Freshman,BioSociety,Part-time at BuildCorp
Thomas Johnson,21,Mechanical Engineering,3.68,Junior,Business Club,Part-time at AutoWorks
Barbara Doe,19,Computer Science,3.74,Junior,Coding Club,Part-time at AutoWorks
David Harris,18,Computer Science,2.4,Sophomore,Research Assistant,Research Assistant
James Thomas,24,Mechanical Engineering,3.51,Junior,Coding Club,Research Assistant
Robert Smith,25,Civil Engineering,2.39,Senior,Soccer Club,Part-time at ElectricWorks
Jessica Brown,19,Electrical Engineering,2.28,Senior,Robotics Team,Intern at TechCorp
Emily Smith,21,Computer Science,2.23,Freshman,Math Club,Research Assistant
Sarah Johnson,24,Economics,2.65,Junior,Soccer Club,Tutor at MathCenter
Barbara Taylor,18,Business Administration,2.8,Freshman,IEEE Member,Research Assistant
James Wilson,19,Environmental Science,3.81,Sophomore,Green Club,Tutor at MathCenter
Christopher Harris,19,Economics,3.77,Sophomore,IEEE Member,Research Assistant
John Wilson,24,Mathematics,2.33,Senior,Green Club,Business Club President
Emily Thomas,20,Biology,3.84,Sophomore,Robotics Team,Part-time at ElectricWorks
Emily Davis,21,Mathematics,3.86,Junior,Green Club,Part-time at AutoWorks
Sarah Brown,25,Mechanical Engineering,2.09,Freshman,Math Club,Part-time at ElectricWorks
Mary Doe,23,Electrical Engineering,3.14,Freshman,BioSociety,Part-time at BuildCorp
James Moore,23,Electrical Engineering,3.26,Sophomore,Robotics Team,Tutor at MathCenter
Jessica Brown,20,Mechanical Engineering,2.38,Junior,BioSociety,Part-time at BuildCorp
Sarah Clark,22,Chemistry,2.21,Freshman,Coding Club,Part-time at BuildCorp
Christopher Taylor,18,Mathematics,3.54,Senior,Robotics Team,Member of BioSociety
Linda Wilson,20,Economics,3.51,Junior,Green Club,Member of BioSociety
David Clark,24,Civil Engineering,2.08,Junior,Business Club,Intern at ResearchLab
Thomas Smith,20,Mechanical Engineering,2.76,Sophomore,Green Club,Tutor at MathCenter
Barbara Clark,25,Physics,2.29,Sophomore,ChemClub,Intern at ResearchLab
Barbara Martin,18,Business Administration,2.97,Junior,Robotics Team,Part-time at MarketPlace
Mary Anderson,25,Electrical Engineering,3.38,Junior,BioSociety,Part-time at ElectricWorks
Christopher Davis,25,Computer Science,2.23,Senior,Research Assistant,Part-time at AutoWorks
David Wilson,18,Biology,3.58,Freshman,Robotics Team,Part-time at MarketPlace
Sarah Doe,22,Economics,2.15,Junior,Coding Club,Part-time at MarketPlace
Robert Clark,24,Biology,2.03,Freshman,Business Club,Intern at TechCorp
David Martin,23,Business Administration,3.91,Junior,Business Club,Intern at TechCorp
Barbara Davis,20,Mechanical Engineering,3.62,Freshman,Coding Club,Part-time at AutoWorks
Jane Johnson,21,Mechanical Engineering,3.6,Senior,Math Club,Part-time at BuildCorp
Thomas Taylor,25,Chemistry,2.42,Freshman,Green Club,Tutor at MathCenter
David Anderson,19,Economics,2.83,Freshman,ASCE Member,Intern at ResearchLab
David Martin,21,Mechanical Engineering,2.15,Junior,Business Club,Part-time at AutoWorks
John Doe,18,Chemistry,2.17,Senior,Soccer Club,Part-time at AutoWorks
Thomas White,22,Computer Science,2.73,Junior,Green Club,Part-time at MarketPlace
Jessica Doe,25,Chemistry,3.74,Senior,Math Club,Intern at StartUp
David Wilson,20,Civil Engineering,2.39,Freshman,ASCE Member,Part-time at BuildCorp
Jane Smith,24,Business Administration,2.12,Senior,IEEE Member,Part-time at ElectricWorks
Patricia Anderson,23,Environmental Science,3.2,Freshman,Soccer Club,Member of BioSociety
Barbara Doe,21,Chemistry,2.44,Junior,ASCE Member,Member of ChemClub
David Wilson,18,Business Administration,3.99,Freshman,Soccer Club,Research Assistant
Jessica Anderson,25,Mathematics,2.84,Freshman,Research Assistant,Part-time at AutoWorks
Patricia White,21,Mathematics,3.93,Sophomore,Coding Club,Intern at ResearchLab
Patricia Davis,20,Electrical Engineering,2.45,Freshman,ASCE Member,Tutor at MathCenter
Linda Johnson,20,Biology,3.6,Senior,ChemClub,Tutor at MathCenter
David Thomas,24,Physics,3.92,Senior,Math Club,Research Assistant
Michael Brown,20,Electrical Engineering,3.49,Sophomore,Debate Team,Business Club President
Jessica Doe,24,Mathematics,2.09,Sophomore,Coding Club,Member of BioSociety
Emily Johnson,20,Civil Engineering,2.45,Sophomore,Research Assistant,Tutor at MathCenter
Sarah White,18,Mechanical Engineering,3.88,Sophomore,IEEE Member,Part-time at ElectricWorks
Robert Anderson,24,Mechanical Engineering,2.49,Sophomore,Coding Club,Part-time at BuildCorp
Sarah Martin,24,Computer Science,2.42,Junior,Business Club,Part-time at MarketPlace
Michael Martin,23,Civil Engineering,3.86,Junior,Math Club,Business Club President
Linda Wilson,25,Civil Engineering,3.91,Junior,ChemClub,Part-time at BuildCorp
Jessica Martin,22,Biology,2.86,Senior,IEEE Member,Business Club President
John Davis,24,Mechanical Engineering,2.49,Freshman,Soccer Club,Part-time at ElectricWorks
Christopher Harris,25,Physics,2.06,Sophomore,Math Club,Intern at StartUp
Sarah Moore,20,Civil Engineering,3.25,Sophomore,IEEE Member,Part-time at AutoWorks
Christopher Wilson,18,Biology,3.2,Freshman,Debate Team,Intern at TechCorp
Thomas Harris,19,Computer Science,2.32,Junior,IEEE Member,Intern at TechCorp
Robert Johnson,23,Biology,2.98,Freshman,Robotics Team,Intern at StartUp
Robert Thomas,19,Environmental Science,2.18,Junior,ChemClub,Research Assistant
Mary White,24,Civil Engineering,2.22,Junior,Coding Club,Tutor at MathCenter
James Brown,22,Physics,3.12,Sophomore,Business Club,Member of BioSociety
Barbara Anderson,22,Mechanical Engineering,2.64,Sophomore,Green Club,Part-time at ElectricWorks
David Anderson,21,Mathematics,3.38,Sophomore,Robotics Team,Part-time at ElectricWorks
Mary Anderson,21,Biology,3.12,Junior,Business Club,Member of ChemClub
John Brown,24,Mechanical Engineering,2.61,Junior,IEEE Member,Member of BioSociety
Patricia Johnson,21,Physics,2.73,Freshman,Business Club,Intern at StartUp
Mary Johnson,24,Environmental Science,3.16,Senior,Soccer Club,Intern at TechCorp
Thomas Harris,18,Computer Science,2.32,Sophomore,ASCE Member,Part-time at BuildCorp
Sarah Moore,21,Biology,3.82,Junior,Business Club,Part-time at AutoWorks
Linda Davis,18,Mechanical Engineering,2.32,Freshman,Soccer Club,Intern at TechCorp
Emily Wilson,19,Biology,3.9,Senior,Coding Club,Member of BioSociety
Robert Martin,20,Economics,3.66,Freshman,ChemClub,Business Club President
Robert Davis,18,Physics,3.09,Sophomore,Business Club,Member of BioSociety
Jane Jackson,24,Economics,2.13,Senior,ChemClub,Part-time at AutoWorks
Sarah Jackson,25,Physics,3.22,Senior,Soccer Club,Business Club President
Jane Jackson,21,Mathematics,3.54,Freshman,ChemClub,Tutor at MathCenter
Mary Smith,18,Mathematics,2.54,Senior,Green Club,Intern at ResearchLab
Emily Doe,21,Electrical Engineering,2.16,Sophomore,Soccer Club,Intern at TechCorp
John Wilson,25,Physics,3.23,Senior,Robotics Team,Intern at StartUp
Barbara Johnson,21,Chemistry,2.15,Freshman,Business Club,Member of ChemClub
John Smith,25,Mechanical Engineering,2.7,Junior,Soccer Club,Research Assistant
Jane Doe,19,Mechanical Engineering,3.05,Junior,ASCE Member,Member of BioSociety
Barbara Johnson,19,Computer Science,2.46,Junior,Green Club,Business Club President
Sarah Doe,18,Physics,2.35,Senior,Robotics Team,Tutor at MathCenter
David Johnson,22,Mathematics,2.49,Sophomore,IEEE Member,Intern at StartUp
Jane Thomas,20,Economics,3.06,Junior,ChemClub,Part-time at BuildCorp
Sarah Clark,18,Environmental Science,3.25,Sophomore,Coding Club,Tutor at MathCenter
Mary Anderson,21,Mechanical Engineering,3.1,Freshman,IEEE Member,Member of BioSociety
James Doe,24,Mechanical Engineering,3.24,Junior,Green Club,Intern at ResearchLab
Mary Davis,25,Mechanical Engineering,3.2,Freshman,IEEE Member,Intern at ResearchLab
Patricia Martin,18,Mechanical Engineering,3.4,Sophomore,Math Club,Intern at StartUp
Michael Martin,24,Economics,2.77,Junior,Math Club,Tutor at MathCenter
Barbara Johnson,19,Computer Science,3.54,Senior,Robotics Team,Tutor at MathCenter
Mary Clark,20,Computer Science,2.14,Sophomore,Business Club,Business Club President
Patricia Davis,20,Civil Engineering,2.66,Junior,Soccer Club,Member of ChemClub
Mary Thomas,18,Physics,2.77,Junior,ChemClub,Research Assistant
Michael Jackson,21,Electrical Engineering,2.86,Sophomore,ASCE Member,Intern at ResearchLab
John Harris,25,Business Administration,2.25,Freshman,BioSociety,Tutor at MathCenter
David Smith,24,Electrical Engineering,2.76,Sophomore,Debate Team,Intern at TechCorp
Christopher Wilson,22,Business Administration,3.3,Junior,IEEE Member,Part-time at BuildCorp
Christopher White,20,Electrical Engineering,2.57,Senior,BioSociety,Part-time at ElectricWorks
Linda Clark,20,Economics,3.47,Senior,BioSociety,Member of BioSociety
David Taylor,23,Economics,2.36,Junior,Green Club,Part-time at MarketPlace
John Wilson,18,Physics,2.9,Junior,Business Club,Member of BioSociety
Barbara Davis,24,Electrical Engineering,3.83,Sophomore,ASCE Member,Member of BioSociety
David Smith,21,Biology,2.43,Junior,Coding Club,Member of ChemClub
Thomas Taylor,22,Civil Engineering,3.29,Sophomore,IEEE Member,Part-time at AutoWorks
James Moore,20,Physics,3.16,Junior,Research Assistant,Research Assistant
Linda Harris,18,Biology,3.73,Senior,Robotics Team,Part-time at MarketPlace
Michael Davis,25,Biology,3.58,Sophomore,Debate Team,Intern at ResearchLab
Sarah Martin,22,Economics,2.65,Freshman,Coding Club,Business Club President
Jane Martin,25,Mathematics,3.22,Junior,ChemClub,Part-time at AutoWorks
Mary Brown,22,Physics,3.43,Junior,Debate Team,Tutor at MathCenter
Emily Martin,25,Business Administration,2.92,Junior,Research Assistant,Member of BioSociety
Jessica Clark,23,Physics,2.67,Junior,Soccer Club,Part-time at ElectricWorks
Patricia Taylor,24,Civil Engineering,2.7,Senior,IEEE Member,Part-time at AutoWorks
Christopher Johnson,20,Chemistry,3.61,Junior,ChemClub,Part-time at BuildCorp
Robert Smith,21,Mechanical Engineering,3.57,Sophomore,ChemClub,Intern at StartUp
Jane Doe,20,Chemistry,3.86,Sophomore,Coding Club,Business Club President
Jessica Wilson,22,Civil Engineering,2.6,Freshman,ChemClub,Part-time at MarketPlace
Michael Taylor,23,Mechanical Engineering,2.14,Senior,Robotics Team,Intern at StartUp
Christopher Doe,24,Business Administration,2.13,Senior,Coding Club,Part-time at MarketPlace
David Moore,24,Computer Science,3.61,Senior,Green Club,Intern at StartUp
David Smith,22,Environmental Science,3.24,Freshman,Business Club,Part-time at BuildCorp
Barbara Clark,18,Biology,3.23,Freshman,Robotics Team,Part-time at MarketPlace
Emily Martin,23,Physics,2.78,Junior,ASCE Member,Part-time at BuildCorp
Jessica Jackson,20,Electrical Engineering,2.84,Sophomore,Robotics Team,Tutor at MathCenter
Emily Smith,22,Business Administration,2.79,Senior,ChemClub,Tutor at MathCenter
Sarah Davis,21,Physics,3.03,Senior,Business Club,Member of BioSociety
Thomas Johnson,24,Computer Science,2.79,Freshman,Soccer Club,Intern at ResearchLab
John Smith,19,Physics,3.06,Sophomore,Debate Team,Intern at TechCorp
Christopher Johnson,18,Environmental Science,2.08,Junior,Green Club,Intern at ResearchLab
Robert Clark,19,Mathematics,3.71,Sophomore,Business Club,Intern at TechCorp
Emily Johnson,20,Chemistry,2.37,Senior,Business Club,Part-time at MarketPlace
James White,23,Chemistry,2.74,Junior,Research Assistant,Part-time at ElectricWorks
Patricia Taylor,25,Electrical Engineering,2.17,Junior,ChemClub,Intern at StartUp
Linda White,24,Civil Engineering,2.48,Junior,BioSociety,Intern at StartUp
Emily Clark,25,Mathematics,3.45,Junior,Soccer Club,Member of ChemClub
James Thomas,25,Mathematics,3.24,Freshman,Coding Club,Part-time at MarketPlace
James Taylor,21,Environmental Science,3.57,Senior,Debate Team,Part-time at ElectricWorks
Thomas White,25,Chemistry,3.62,Sophomore,Green Club,Member of BioSociety
Linda Anderson,18,Environmental Science,3.5,Senior,Research Assistant,Part-time at AutoWorks
Jane Martin,22,Business Administration,3.11,Junior,Robotics Team,Intern at ResearchLab
Jessica Brown,22,Chemistry,2.45,Senior,Research Assistant,Member of ChemClub
Sarah Clark,23,Civil Engineering,2.63,Junior,BioSociety,Part-time at BuildCorp
Michael Johnson,25,Economics,3.76,Sophomore,IEEE Member,Member of BioSociety
David White,19,Computer Science,3.97,Junior,Math Club,Member of ChemClub
Sarah White,23,Mechanical Engineering,2.33,Freshman,IEEE Member,Research Assistant
Jane White,22,Physics,3.36,Freshman,Robotics Team,Part-time at MarketPlace
Jessica Johnson,23,Economics,2.85,Junior,Soccer Club,Tutor at MathCenter
Barbara Jackson,20,Physics,2.42,Junior,Math Club,Research Assistant
Linda Davis,20,Biology,3.37,Junior,Business Club,Tutor at MathCenter
Patricia Taylor,19,Environmental Science,2.37,Senior,Robotics Team,Intern at ResearchLab
